Requisiti di lavoro: Account di agenzia di digital marketing. 
Si preferisce un candidato che:
- Abbia esperienza in agenzia di pubblicità o di digital marketing. 
- Abbia già un qualche legame con Firenze. 
- Possibilmente sotto i 30 anni. 
- Possibilmente abbiano un master in marketing o comunicazione.
- Possibilmente, ma non necessariamente, abbia avuto una qualche esperienza come freelance.

Compiti: 
Gestione e sviluppo dei rapporti con i clienti: Costruire e mantenere relazioni solide e durature con i clienti. Comprendere a fondo le esigenze e gli obiettivi di business dei clienti per proporre soluzioni di marketing digitali efficaci.
Ricerca di nuove opportunità di business (compito importante!): Identificare potenziali nuovi clienti e collaborare con il team di business development per formulare proposte che espandano il portafoglio clienti dell'agenzia.
Pianificazione e gestione di progetti: Coordinare le attività tra i diversi team (creativi, copywriter, SEO/SEM, social media managers) per assicurare che i progetti vengano consegnati tempestivamente e rispettando i budget stabiliti.
Analisi delle performance: Monitorare e analizzare le performance delle campagne digitali attraverso strumenti di analytics per ottimizzare le strategie in corso e aumentare il ROI dei clienti.
Presentazioni strategiche e reportistica: Preparare e presentare report dettagliati sui risultati delle campagne ai clienti, illustrando i successi e identificando opportunità di miglioramento.
Ottimizzazione delle strategie di content marketing: Lavorare a stretto contatto con il team di content marketing per sviluppare strategie di contenuto che aumentino l'engagement e la visibilità del brand dei clienti.
Riepilogo del curriculum:                                                                                   option                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    value
                                                                                    Nome                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Il nome del candidato non è fornito nel documento.
                                                                      Numero di contatto                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Il numero di contatto del candidato è +39-3337175926.
                                                                                  Genere                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         Non fornito. Il documento non specifica il genere del candidato.
Età il 1 Giugno 2024, se mancante calcolata come: 2024 - anno_di_diploma_superiore + 19                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            La data di nascita del candidato è il 1 settembre 1996. Pertanto, il 1 giugno 2024, il candidato avrà 27 anni.
                                                                      Legame con Firenze                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 Non fornito. Nel documento fornito non ci sono informazioni che suggeriscono un legame del candidato con Firenze. Le esperienze lavorative e formative riportate si sono svolte a Roma, Milano e Barcellona. Non ci sono riferimenti a Firenze nelle competenze, negli interessi o nelle lingue parlate.
                                               Anni di esperienza lavoro attiva (Numero)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      Il candidato ha iniziato a lavorare attivamente nel campo del marketing e della comunicazione a partire da aprile 2021 e continua a lavorare fino alla data del documento, che è settembre 2022. Pertanto, l'esperienza lavorativa attiva di questo candidato è di 1 anno e 6 mesi.
                                                                     Istruzione più alta                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            La formazione più alta di questo candidato è una laurea magistrale in Comunicazione Pubblica e d'Impresa presso l'Università degli Studi di Roma La Sapienza.
                                                          Nome dell'università di laurea                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               Il candidato ha conseguito la laurea triennale e la laurea magistrale presso l'Università degli studi di Roma La Sapienza.
                                                             Nome della scuola di master                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     Il candidato ha conseguito la laurea magistrale presso l'Università degli Studi di Roma La Sapienza.
                                                                     Stato occupazionale                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           Il candidato è attualmente impiegato come Digital Project Manager presso The Roman Post & Core Comunicazione a Roma, posizione che riveste dal settembre 2022.
                                                                       Posizione attuale                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          La posizione attuale del candidato è Digital Project Manager presso The Roman Post & Core Comunicazione a Roma.
